layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.9259259259259259,0.0,0.8125,0.0,54.0,0.0,0.8040816326530612,0.0,"[[4, 1], [3, 46]]",5
1,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8775510204081634,0.0,"[[4, 1], [0, 49]]",5
2,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.926530612244898,0.0,"[[4, 1], [0, 49]]",5
3,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8530612244897959,0.0,"[[4, 1], [0, 49]]",5
4,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8122448979591838,0.0,"[[4, 1], [0, 49]]",5
5,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8204081632653061,1.1102230246251565e-16,"[[4, 1], [0, 49]]",5
6,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8367346938775511,0.0,"[[4, 1], [0, 49]]",5
7,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8408163265306123,0.0,"[[4, 1], [0, 49]]",5
8,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8122448979591838,0.0,"[[4, 1], [0, 49]]",5
9,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8734693877551021,0.0,"[[4, 1], [0, 49]]",5
10,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8081632653061226,1.1102230246251565e-16,"[[4, 1], [0, 49]]",5
11,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8285714285714286,0.0,"[[4, 1], [0, 49]]",5
12,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.8081632653061226,1.1102230246251565e-16,"[[4, 1], [1, 48]]",5
13,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8163265306122449,0.0,"[[4, 1], [0, 49]]",5
14,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8653061224489796,0.0,"[[4, 1], [0, 49]]",5
15,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.963265306122449,0.0,"[[4, 1], [0, 49]]",5
16,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.926530612244898,0.0,"[[4, 1], [0, 49]]",5
17,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.9061224489795918,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
18,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.9061224489795918,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
19,0.9444444444444444,0.0,0.7708628005657708,0.0,54.0,0.0,0.8979591836734695,0.0,"[[2, 3], [0, 49]]",5
20,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8408163265306123,0.0,"[[3, 2], [0, 49]]",5
21,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8244897959183672,1.1102230246251565e-16,"[[3, 2], [0, 49]]",5
22,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8,0.0,"[[3, 2], [0, 49]]",5
23,0.962962962962963,1.1102230246251565e-16,0.865,0.0,54.0,0.0,0.8,0.0,"[[3, 2], [0, 49]]",5
24,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8040816326530613,0.0,"[[4, 1], [0, 49]]",5
25,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.7959183673469388,0.0,"[[4, 1], [1, 48]]",5
26,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.7959183673469388,0.0,"[[4, 1], [1, 48]]",5
27,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8,0.0,"[[4, 1], [0, 49]]",5
28,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8,0.0,"[[4, 1], [0, 49]]",5
29,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8244897959183672,1.1102230246251565e-16,"[[4, 1], [0, 49]]",5
30,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8040816326530613,0.0,"[[4, 1], [0, 49]]",5
31,0.9814814814814815,0.0,0.9393939393939394,0.0,54.0,0.0,0.8285714285714286,0.0,"[[4, 1], [0, 49]]",5
32,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.8,0.0,"[[4, 1], [1, 48]]",5
33,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.8612244897959183,1.1102230246251565e-16,"[[4, 1], [1, 48]]",5
34,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.8448979591836736,1.1102230246251565e-16,"[[4, 1], [1, 48]]",5
35,0.962962962962963,1.1102230246251565e-16,0.889795918367347,0.0,54.0,0.0,0.8979591836734695,0.0,"[[4, 1], [1, 48]]",5
