layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
1,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
2,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
3,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
4,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [2, 4]]",5
5,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
6,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
7,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
8,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
9,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.6666666666666666,0.0,"[[6, 0], [3, 3]]",5
10,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.75,0.0,"[[6, 0], [3, 3]]",5
11,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
12,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
13,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
14,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
15,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
16,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [2, 4]]",5
17,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [2, 4]]",5
18,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.7222222222222222,0.0,"[[6, 0], [2, 4]]",5
19,0.8333333333333334,0.0,0.8285714285714285,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [2, 4]]",5
20,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [4, 2]]",5
21,0.6666666666666666,0.0,0.625,0.0,12.0,0.0,0.8333333333333334,0.0,"[[6, 0], [4, 2]]",5
22,0.75,0.0,0.7333333333333334,0.0,12.0,0.0,0.7777777777777779,0.0,"[[6, 0], [3, 3]]",5
23,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
24,0.9166666666666666,0.0,0.916083916083916,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [1, 5]]",5
25,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
26,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
27,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
28,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
29,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
30,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
31,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
32,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
33,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
34,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
35,1.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,"[[6, 0], [0, 6]]",5
