layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,0.375,0.0,0.2727272727272727,0.0,32.0,0.0,0.68359375,0.0,"[[0, 16], [4, 12]]",5
1,0.65625,0.0,0.6101882613510521,0.0,32.0,0.0,0.96484375,0.0,"[[5, 11], [0, 16]]",5
2,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
3,0.9375,0.0,0.9375,0.0,32.0,0.0,0.97265625,0.0,"[[15, 1], [1, 15]]",5
4,0.5625,0.0,0.45893719806763283,0.0,32.0,0.0,1.0,0.0,"[[2, 14], [0, 16]]",5
5,0.71875,0.0,0.7046153846153846,0.0,32.0,0.0,0.94921875,0.0,"[[8, 8], [1, 15]]",5
6,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
7,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
8,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
9,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
10,0.875,0.0,0.8730158730158731,1.1102230246251565e-16,32.0,0.0,1.0,0.0,"[[12, 4], [0, 16]]",5
11,0.53125,0.0,0.3992490613266583,0.0,32.0,0.0,1.0,0.0,"[[1, 15], [0, 16]]",5
12,0.78125,0.0,0.7702564102564102,0.0,32.0,0.0,1.0,0.0,"[[9, 7], [0, 16]]",5
13,0.59375,0.0,0.5134502923976608,0.0,32.0,0.0,1.0,0.0,"[[3, 13], [0, 16]]",5
14,0.625,0.0,0.5636363636363637,0.0,32.0,0.0,1.0,0.0,"[[4, 12], [0, 16]]",5
15,0.71875,0.0,0.694591728525981,0.0,32.0,0.0,1.0,0.0,"[[7, 9], [0, 16]]",5
16,0.9375,0.0,0.9372549019607843,0.0,32.0,0.0,1.0,0.0,"[[14, 2], [0, 16]]",5
17,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,1.0,0.0,"[[15, 1], [0, 16]]",5
18,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
19,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,1.0,0.0,"[[15, 1], [0, 16]]",5
20,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,1.0,0.0,"[[15, 1], [0, 16]]",5
21,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,1.0,0.0,"[[15, 1], [0, 16]]",5
22,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
23,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
24,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [1, 15]]",5
25,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
26,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
27,1.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,"[[16, 0], [0, 16]]",5
28,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,0.9921875,0.0,"[[16, 0], [1, 15]]",5
29,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,0.98046875,0.0,"[[16, 0], [1, 15]]",5
30,0.96875,0.0,0.9687194525904204,0.0,32.0,0.0,0.96484375,0.0,"[[16, 0], [1, 15]]",5
31,0.9375,0.0,0.9375,0.0,32.0,0.0,0.98828125,0.0,"[[15, 1], [1, 15]]",5
32,0.9375,0.0,0.9375,0.0,32.0,0.0,0.9375,0.0,"[[15, 1], [1, 15]]",5
33,0.6875,0.0,0.6666666666666667,0.0,32.0,0.0,0.9609375,0.0,"[[7, 9], [1, 15]]",5
34,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.953125,0.0,"[[0, 16], [0, 16]]",5
35,0.5,0.0,0.3333333333333333,0.0,32.0,0.0,0.96484375,0.0,"[[0, 16], [0, 16]]",5
