layer,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_samples_mean,n_samples_std,auroc_mean,auroc_std,confusion_matrix,n_seeds
0,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
1,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
2,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
3,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
4,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.9183673469387754,0.0,"[[7, 0], [2, 5]]",5
5,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.7346938775510204,0.0,"[[7, 0], [2, 5]]",5
6,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.7142857142857143,0.0,"[[7, 0], [2, 5]]",5
7,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
8,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
9,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
10,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
11,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
12,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
13,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
14,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
15,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
16,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
17,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
18,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
19,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
20,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
21,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
22,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
23,0.7142857142857143,0.0,0.6888888888888889,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [4, 3]]",5
24,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,0.7142857142857143,0.0,"[[7, 0], [3, 4]]",5
25,0.7857142857142857,0.0,0.7754010695187166,0.0,14.0,0.0,0.7551020408163265,0.0,"[[7, 0], [3, 4]]",5
26,0.8571428571428571,0.0,0.8541666666666667,0.0,14.0,0.0,0.8571428571428571,0.0,"[[7, 0], [2, 5]]",5
27,0.9285714285714286,0.0,0.9282051282051282,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [1, 6]]",5
28,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
29,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
30,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
31,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
32,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
33,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
34,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
35,1.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,"[[7, 0], [0, 7]]",5
